Title,Production Company,Genre,Runtime,Release Date,Year,Budget,Opening Amount,Total Gross,Revenue
Ender's Game,Lionsgate,Science Fiction,114.0,Nov 1,2014,110000000,27017351,61737191,125537191
Despicable Me 2,Universal Pictures,Animation,98.0,Jul 3,2014,76000000,83517315,368065385,970761885
The Best Man Holiday,Universal Pictures,Comedy,123.0,Nov 15,2014,17000000,30107555,70525195,71625195
The Girl on the Train,Universal Pictures,Crime,112.0,Jul 4,2014,45000000,24536265,3124,173185859
Jurassic World,Universal Pictures,Action,124.0,Jun 12,2015,150000000,208806270,652270625,1513528810
Avengers: Age of Ultron,Walt Disney Studios Motion Pictures,Action,141.0,May 1,2015,280000000,191271109,459005868,1405403694
Inside Out,Walt Disney Studios Motion Pictures,Drama,94.0,Jun 19,2015,175000000,90440272,356461711,857611174
Furious 7,Universal Pictures,Action,137.0,Apr 3,2015,190000000,147187040,353007020,1506249360
Minions,Universal Pictures,Family,91.0,Jul 10,2015,74000000,115718405,336045770,1156730962
The Hunger Games: Mockingjay - Part 2,Lionsgate,Action,137.0,Nov 20,2015,160000000,102665981,281723902,653428261
The Martian,Twentieth Century Fox,Drama,141.0,Oct 2,2015,108000000,54308575,228433663,630161890
Cinderella,Walt Disney Studios Motion Pictures,Family,74.0,Mar 13,2015,2900000,67877361,201151353,263591415
Cinderella,Walt Disney Studios Motion Pictures,Romance,105.0,Mar 13,2015,95000000,67877361,201151353,543514353
Spectre,Sony Pictures Releasing,Action,148.0,Nov 6,2015,245000000,70403148,200074609,880674609
Mission: Impossible - Rogue Nation,Paramount Pictures,Action,131.0,Jul 31,2015,150000000,55520089,195042377,682330139
Pitch Perfect 2,Universal Pictures,Comedy,115.0,May 15,2015,29000000,69216890,184296230,287506194
Ant-Man,Walt Disney Studios Motion Pictures,Science Fiction,117.0,Jul 17,2015,130000000,57225526,180202163,519311965
Home,Twentieth Century Fox,Fantasy,94.0,Mar 27,2015,135000000,52107731,177397510,368871007
Hotel Transylvania 2,Sony Pictures Releasing,Animation,89.0,Sep 25,2015,80000000,48464322,169700110,473226958
Fifty Shades of Grey,Universal Pictures,Drama,125.0,Feb 13,2015,40000000,85171450,166167230,571006128
The SpongeBob Movie: Sponge Out of Water,Paramount Pictures,Animation,93.0,Feb 6,2015,74000000,55365012,162994032,311594032
Straight Outta Compton,Universal Pictures,Drama,147.0,Aug 14,2015,28000000,60200180,161197785,201634991
San Andreas,Warner Bros.,Action,114.0,May 29,2015,110000000,54588173,155190832,470490832
Mad Max: Fury Road,Warner Bros.,Action,120.0,May 15,2015,150000000,45428128,153636354,378858340
Insurgent,Lionsgate,Adventure,119.0,Mar 20,2015,110000000,52263680,130179072,295238201
Kingsman: The Secret Service,Twentieth Century Fox,Crime,130.0,Feb 13,2015,81000000,36206331,128261724,414351546
The Peanuts Movie,Twentieth Century Fox,Animation,88.0,Nov 6,2015,99000000,44213073,130178411,246233113
Spy,Twentieth Century Fox,Action,120.0,Jun 5,2015,65000000,29085719,110825712,235666219
The Good Dinosaur,Walt Disney Studios Motion Pictures,Adventure,93.0,Nov 25,2015,175000000,39155217,123087120,331926147
Trainwreck,Universal Pictures,Comedy,125.0,Jul 17,2015,35000000,30097040,110212700,140795793
Creed,Warner Bros.,Drama,133.0,Nov 25,2015,37000000,29632823,109767581,173567581
Tomorrowland,Walt Disney Studios Motion Pictures,Adventure,130.0,May 22,2015,190000000,33028165,93436322,209154322
Get Hard,Warner Bros.,Comedy,100.0,Mar 27,2015,40000000,33803253,90411453,111811453
Terminator Genisys,Paramount Pictures,Science Fiction,126.0,Jul 1,2015,155000000,27018486,89760956,440603537
Taken 3,Twentieth Century Fox,Thriller,109.0,Jan 9,2015,48000000,39201657,89256424,325771424
Maze Runner: The Scorch Trials,Twentieth Century Fox,Action,132.0,Sep 18,2015,61000000,30316510,81697192,311256926
Ted 2,Universal Pictures,Comedy,115.0,Jun 26,2015,68000000,33507870,81476385,217022588
Goosebumps,Sony Pictures Releasing,Adventure,103.0,Oct 16,2015,58000000,23618556,80080379,158162788
Pixels,Sony Pictures Releasing,Action,105.0,Jul 24,2015,88000000,24011616,78747585,243637091
